,Home,Score,Away,Year,Home Goals,Away Goals,Winner
0,Germany,5–1,Scotland,2024,5,1,Germany
1,Hungary,1–3,Switzerland,2024,1,3,Switzerland
2,Germany,2–0,Hungary,2024,2,0,Germany
3,Scotland,1–1,Switzerland,2024,1,1,Draw
4,Switzerland,1–1,Germany,2024,1,1,Draw
5,Scotland,0–1,Hungary,2024,0,1,Hungary
6,Spain,3–0,Croatia,2024,3,0,Spain
7,Italy,2–1,Albania,2024,2,1,Italy
8,Croatia,2–2,Albania,2024,2,2,Draw
9,Spain,1–0,Italy,2024,1,0,Spain
10,Albania,0–1,Spain,2024,0,1,Spain
11,Croatia,1–1,Italy,2024,1,1,Draw
12,Slovenia,1–1,Denmark,2024,1,1,Draw
13,Serbia,0–1,England,2024,0,1,England
14,Slovenia,1–1,Serbia,2024,1,1,Draw
15,Denmark,1–1,England,2024,1,1,Draw
16,England,0–0,Slovenia,2024,0,0,Draw
17,Denmark,0–0,Serbia,2024,0,0,Draw
18,Poland,1–2,Netherlands,2024,1,2,Netherlands
19,Austria,0–1,France,2024,0,1,France
20,Poland,1–3,Austria,2024,1,3,Austria
21,Netherlands,0–0,France,2024,0,0,Draw
22,Netherlands,2–3,Austria,2024,2,3,Austria
23,France,1–1,Poland,2024,1,1,Draw
24,Romania,3–0,Ukraine,2024,3,0,Romania
25,Belgium,0–1,Slovakia,2024,0,1,Slovakia
26,Slovakia,1–2,Ukraine,2024,1,2,Ukraine
27,Belgium,2–0,Romania,2024,2,0,Belgium
28,Slovakia,1–1,Romania,2024,1,1,Draw
29,Ukraine,0–0,Belgium,2024,0,0,Draw
30,Turkey,3–1,Georgia,2024,3,1,Turkey
31,Portugal,2–1,Czech Republic,2024,2,1,Portugal
32,Georgia,1–1,Czech Republic,2024,1,1,Draw
33,Turkey,0–3,Portugal,2024,0,3,Portugal
34,Georgia,2–0,Portugal,2024,2,0,Georgia
35,Czech Republic,1–2,Turkey,2024,1,2,Turkey
36,Switzerland,2–0,Italy,2024,2,0,Switzerland
37,Germany,2–0,Denmark,2024,2,0,Germany
38,England,2–1,Slovakia,2024,2,1,England
39,Spain,4–1,Georgia,2024,4,1,Spain
40,France,1–0,Belgium,2024,1,0,France
41,Portugal,0–0,Slovenia,2024,0,0,Draw
42,Romania,0–3,Netherlands,2024,0,3,Netherlands
43,Austria,1–2,Turkey,2024,1,2,Turkey
44,Spain,2–1,Germany,2024,2,1,Spain
45,Portugal,0–0,France,2024,0,0,Draw
46,England,1–1,Switzerland,2024,1,1,Draw
47,Netherlands,2–1,Turkey,2024,2,1,Netherlands
48,Spain,2–1,France,2024,2,1,Spain
49,Netherlands,1–2,England,2024,1,2,England
50,Spain,2–1,England,2024,2,1,Spain
